timestamp,year,month,day,hour,minute,second,latitude,longitude,altitude_msl,altitude_ellipsoid,horizontal_accuracy,vertical_accuracy,fix_type,carrier_solution,num_satellites,pDOP,speed_2d,heading,vel_north,vel_east,vel_down,flags,source
256392.0,2026,5,19,23,12,0,32.8683182,-117.2512392,59.689,25.885,43510.764,30766.758,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
256393.0,2026,5,19,23,12,0,32.8683182,-117.2512392,59.689,25.885,43510.992,30766.916,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
256394.0,2026,5,19,23,12,0,32.8683182,-117.2512392,59.689,25.885,43511.232,30767.086,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
256394.994,2026,5,19,23,12,0,32.8709989,-117.2507646,59.684,25.885,1349.565,707.107,2,0,3,0.0924,0.841,0.0,0.598,0.592,0.0,0,PVT
256396.0,2026,5,19,23,12,0,32.8694363,-117.2523902,91.395,57.592,67.585,118.881,3,0,7,0.0265,0.672,0.0,-0.609,-0.285,0.487,0,PVT
256397.0,2026,5,19,23,12,0,32.8695,-117.2521733,61.77,27.968,21.159,42.385,3,0,14,0.0176,0.141,0.0,-0.087,-0.111,-0.309,0,PVT
256398.0,2026,5,19,23,13,0,32.8694962,-117.2521174,61.075,27.273,11.61,23.967,3,0,15,0.0171,0.018,0.0,-0.017,0.007,-0.061,0,PVT
256399.0,2026,5,19,23,13,0,32.8695185,-117.2520943,59.507,25.705,8.968,17.664,3,0,16,0.0166,0.069,0.0,-0.064,0.025,-0.043,0,PVT
256400.0,2026,5,19,23,13,0,32.8695212,-117.2520934,57.932,24.13,7.698,15.326,3,0,17,0.0154,0.028,0.0,0.025,0.013,0.02,0,PVT
256401.0,2026,5,19,23,13,0,32.8695101,-117.2520947,56.623,22.82,5.943,12.801,3,0,17,0.0154,0.182,0.0015194569999999999,-0.161,0.086,0.066,0,PVT
256402.0,2026,5,19,23,13,0,32.8695069,-117.2520877,56.407,22.604,4.896,10.928,3,0,18,0.0149,0.809,0.0010971768000000001,-0.273,0.762,0.061,0,PVT
256403.0,2026,5,19,23,13,0,32.8695061,-117.2520871,53.05,19.248,4.184,9.313,3,0,18,0.0149,0.855,0.0012120538,-0.443,0.732,0.024,0,PVT
256404.0,2026,5,19,23,13,0,32.8695046,-117.2520832,50.711,16.909,3.714,8.291,3,0,18,0.0149,0.591,0.00099469,-0.097,0.583,0.079,0,PVT
256405.0,2026,5,19,23,13,0,32.8695019,-117.2520826,49.229,15.427,3.33,7.349,3,0,18,0.0149,0.153,0.0018816623999999998,-0.152,-0.022,0.017,0,PVT
256406.0,2026,5,19,23,13,0,32.869502,-117.2520853,48.015,14.212,3.03,6.642,3,0,18,0.0149,0.105,0.0022927562,-0.069,-0.08,0.056,0,PVT
256407.0,2026,5,19,23,13,0,32.8695014,-117.2520879,47.435,13.632,2.783,5.974,3,0,19,0.013000000000000001,0.043,0.0014699207999999998,0.03,-0.03,-0.009,0,PVT
