timestamp,year,month,day,hour,minute,second,latitude,longitude,altitude_msl,altitude_ellipsoid,horizontal_accuracy,vertical_accuracy,fix_type,carrier_solution,num_satellites,pDOP,speed_2d,heading,vel_north,vel_east,vel_down,flags,source
248332.0,2026,5,19,20,58,0,32.8683606,-117.251276,61.733,27.93,23439.51,16574.236,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
248333.0,2026,5,19,20,58,0,32.8683606,-117.251276,61.733,27.93,23439.896,16574.508,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
248334.0,2026,5,19,20,58,0,32.8683606,-117.251276,61.733,27.93,23440.314,16574.806,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
248335.0,2026,5,19,20,58,0,32.8683606,-117.251276,61.733,27.93,23440.768,16575.126,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
248336.0,2026,5,19,20,58,0,32.8683606,-117.251276,61.733,27.93,23441.254,16575.472,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
248337.0,2026,5,19,20,58,0,32.8683606,-117.251276,61.733,27.93,23441.776,16575.838,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
248337.996,2026,5,19,20,58,0,32.8683606,-117.251276,61.733,27.93,23442.332,16576.232,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
248339.0,2026,5,19,20,58,0,32.8683606,-117.251276,61.733,27.93,23442.924,16576.65,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
248339.5,2026,5,19,20,58,0,32.8693982,-117.2524494,61.733,27.93,224.273,707.107,2,0,3,0.020099999999999996,0.209,0.0,0.106,0.18,0.0,0,PVT
248340.0,2026,5,19,20,58,0,32.8692019,-117.2527283,167.295,133.491,496.424,1133.842,3,0,4,0.11539999999999999,1.937,0.0023308331999999997,-1.164,-1.549,-4.47,0,PVT
248341.0,2026,5,19,20,58,0,32.8694235,-117.2522305,72.936,39.134,28.582,65.996,3,0,11,0.0204,0.133,0.0023308331999999997,0.008,0.132,0.006,0,PVT
248342.0,2026,5,19,20,58,0,32.8694621,-117.2521517,57.884,24.081,17.671,40.563,3,0,14,0.0217,0.22,0.0023308331999999997,-0.163,-0.147,-0.215,0,PVT
248343.0,2026,5,19,20,58,0,32.8694799,-117.2521315,50.143,16.341,11.25,26.327,3,0,17,0.0169,0.07,0.0023308331999999997,-0.026,-0.065,0.026,0,PVT
248344.0,2026,5,19,20,58,0,32.86949,-117.2521198,48.292,14.49,8.736,20.606,3,0,18,0.0165,0.02,0.0023308331999999997,0.003,-0.02,0.085,0,PVT
248345.0,2026,5,19,20,58,0,32.8694965,-117.2521162,45.908,12.105,7.326,17.393,3,0,19,0.015300000000000001,0.013,0.0023308331999999997,0.012,-0.006,0.051,0,PVT
248346.0,2026,5,19,20,58,0,32.8695053,-117.2521123,44.164,10.362,6.365,15.271,3,0,19,0.015300000000000001,0.017,0.0023308331999999997,0.01,0.013,0.069,0,PVT
248347.0,2026,5,19,20,58,0,32.8695126,-117.2521085,43.253,9.45,5.687,13.676,3,0,19,0.015300000000000001,0.011,0.0023308331999999997,0.01,0.004,0.061,0,PVT
248348.0,2026,5,19,20,58,0,32.8695177,-117.2521058,42.614,8.812,5.181,12.394,3,0,20,0.0152,0.02,0.0023308331999999997,0.017,0.01,0.027,0,PVT
248349.0,2026,5,19,20,58,0,32.869522,-117.2521024,42.296,8.494,4.83,11.55,3,0,20,0.0152,0.034,0.0023308331999999997,-0.034,0.005,0.019,0,PVT
