endTimeUTC,startTimeUTC,duration,isReportingWindow,dataUsageBytes,profileIccid,profileId,deviceId,imei,network,rat
2026-05-26 16:54:56,2026-05-26 16:54:12,00:00:44,0,0,89464278206107519746,5324559,3808197,865235030714188,"T-Mobile USA, Inc",LTE
2026-05-26 16:54:07,2026-05-26 16:53:56,00:00:11,0,0,89464278206107519746,5324559,3808197,865235030714188,AT&T Mobility,LTE
2026-05-26 16:53:56,2026-05-26 16:49:01,00:04:55,0,94964,89464278206107519746,5324559,3808197,865235030714188,AT&T Mobility,LTE
2026-05-26 16:49:01,2026-05-26 16:48:37,00:00:24,0,0,89464278206107519746,5324559,3808197,865235030714188,AT&T Mobility,LTE
2026-05-26 16:48:18,2026-05-26 16:48:08,00:00:10,0,0,89464278206107519746,5324559,3808197,865235030714188,"T-Mobile USA, Inc",LTE
2026-05-26 16:48:08,2026-05-26 16:45:20,00:02:48,0,52925,89464278206107519746,5324559,3808197,865235030714188,"T-Mobile USA, Inc",LTE
2026-05-26 16:45:19,2026-05-26 16:42:33,00:02:46,0,52910,89464278206107519746,5324559,3808197,865235030714188,"T-Mobile USA, Inc",LTE
2026-05-26 16:42:33,2026-05-26 16:41:26,00:01:07,0,18478,89464278206107519746,5324559,3808197,865235030714188,"T-Mobile USA, Inc",LTE
2026-05-26 16:41:25,2026-05-26 16:41:02,00:00:23,0,0,89464278206107519746,5324559,3808197,865235030714188,"T-Mobile USA, Inc",LTE
2026-05-26 16:41:02,2026-05-26 16:16:07,00:24:55,0,459491,89464278206107519746,5324559,3808197,865235030714188,"T-Mobile USA, Inc",LTE
2026-05-26 16:16:02,2026-05-26 16:15:40,00:00:22,0,0,89464278206107519746,5324559,3808197,865235030714188,"T-Mobile USA, Inc",LTE
2026-05-26 16:15:40,2026-05-26 15:31:11,00:44:29,0,0,89464278206107519746,5324559,3808197,865235030714188,"T-Mobile USA, Inc",LTE
2026-05-26 15:31:11,2026-05-26 09:31:11,06:00:00,0,0,89464278206107519746,5324559,3808197,865235030714188,"T-Mobile USA, Inc",LTE
2026-05-26 09:31:11,2026-05-26 03:31:10,06:00:01,0,0,89464278206107519746,5324559,3808197,865235030714188,"T-Mobile USA, Inc",LTE
2026-05-26 03:12:55,2026-05-25 21:12:55,06:00:00,0,0,89464278206107519746,5324559,3808197,865235030714188,"T-Mobile USA, Inc",LTE
2026-05-26 03:12:56,2026-05-26 03:12:55,00:00:01,0,0,89464278206107519746,5324559,3808197,865235030714188,"T-Mobile USA, Inc",LTE
2026-05-25 21:12:55,2026-05-25 15:12:55,06:00:00,0,0,89464278206107519746,5324559,3808197,865235030714188,"T-Mobile USA, Inc",LTE
2026-05-25 15:12:55,2026-05-25 09:12:55,06:00:00,0,0,89464278206107519746,5324559,3808197,865235030714188,"T-Mobile USA, Inc",LTE
2026-05-25 09:12:55,2026-05-25 03:12:55,06:00:00,0,0,89464278206107519746,5324559,3808197,865235030714188,"T-Mobile USA, Inc",LTE
2026-05-25 02:54:30,2026-05-25 02:54:30,00:00:00,0,0,89464278206107519746,5324559,3808197,865235030714188,"T-Mobile USA, Inc",LTE
2026-05-24 20:54:30,2026-05-24 14:54:30,06:00:00,0,0,89464278206107519746,5324559,3808197,865235030714188,"T-Mobile USA, Inc",LTE
2026-05-24 14:54:30,2026-05-24 08:54:30,06:00:00,0,0,89464278206107519746,5324559,3808197,865235030714188,"T-Mobile USA, Inc",LTE
2026-05-24 08:54:30,2026-05-24 02:54:30,06:00:00,0,0,89464278206107519746,5324559,3808197,865235030714188,"T-Mobile USA, Inc",LTE
2026-05-24 02:36:02,2026-05-23 20:36:02,06:00:00,0,0,89464278206107519746,5324559,3808197,865235030714188,"T-Mobile USA, Inc",LTE
2026-05-23 20:36:02,2026-05-23 14:36:02,06:00:00,0,0,89464278206107519746,5324559,3808197,865235030714188,"T-Mobile USA, Inc",LTE
2026-05-23 14:36:02,2026-05-23 08:36:02,06:00:00,0,0,89464278206107519746,5324559,3808197,865235030714188,"T-Mobile USA, Inc",LTE
2026-05-23 08:36:02,2026-05-23 02:36:02,06:00:00,0,0,89464278206107519746,5324559,3808197,865235030714188,"T-Mobile USA, Inc",LTE
2026-05-23 02:36:02,2026-05-22 23:34:28,03:01:34,0,3794158,89464278206107519746,5324559,3808197,865235030714188,"T-Mobile USA, Inc",LTE
2026-05-22 23:34:25,2026-05-22 23:34:17,00:00:08,0,496,89464278206107519746,5324559,3808197,865235030714188,"T-Mobile USA, Inc",LTE
2026-05-22 23:34:14,2026-05-22 23:34:09,00:00:05,0,0,89464278206107519746,5324559,3808197,865235030714188,"T-Mobile USA, Inc",LTE
2026-05-22 23:34:08,2026-05-22 23:33:39,00:00:29,0,0,89464278206107519746,5324559,3808197,865235030714188,"T-Mobile USA, Inc",LTE
2026-05-22 23:33:39,2026-05-22 23:33:32,00:00:07,0,0,89464278206107519746,5324559,3808197,865235030714188,AT&T Mobility,LTE
2026-05-22 23:33:32,2026-05-22 23:33:02,00:00:30,0,0,89464278206107519746,5324559,3808197,865235030714188,AT&T Mobility,LTE
2026-05-22 23:33:02,2026-05-22 22:55:18,00:37:44,0,793053,89464278206107519746,5324559,3808197,865235030714188,AT&T Mobility,LTE
2026-05-22 22:55:18,2026-05-22 22:54:53,00:00:25,0,0,89464278206107519746,5324559,3808197,865235030714188,AT&T Mobility,LTE
2026-05-22 22:54:53,2026-05-22 22:45:47,00:09:06,0,134490,89464278206107519746,5324559,3808197,865235030714188,AT&T Mobility,LTE
2026-05-22 22:45:42,2026-05-22 22:40:42,00:05:00,0,82737,89464278206107519746,5324559,3808197,865235030714188,AT&T Mobility,LTE
2026-05-22 22:45:44,2026-05-22 22:45:42,00:00:02,0,0,89464278206107519746,5324559,3808197,865235030714188,AT&T Mobility,LTE
2026-05-22 22:40:42,2026-05-22 22:40:20,00:00:22,0,0,89464278206107519746,5324559,3808197,865235030714188,AT&T Mobility,LTE
2026-05-22 22:09:13,2026-05-22 22:05:13,00:04:00,0,84788,89464278206107519746,5324559,3808197,865235030714188,AT&T Mobility,LTE
2026-05-22 22:05:13,2026-05-22 22:04:37,00:00:36,0,0,89464278206107519746,5324559,3808197,865235030714188,AT&T Mobility,LTE
2026-05-22 22:04:36,2026-05-22 21:41:42,00:22:54,0,13814,89464278206107519746,5324559,3808197,865235030714188,AT&T Mobility,LTE
2026-05-22 21:41:38,2026-05-22 21:41:31,00:00:07,0,0,89464278206107519746,5324559,3808197,865235030714188,AT&T Mobility,LTE
2026-05-22 21:41:31,2026-05-22 21:30:42,00:10:49,0,222266,89464278206107519746,5324559,3808197,865235030714188,AT&T Mobility,LTE
2026-05-22 21:30:39,2026-05-22 21:30:33,00:00:06,0,0,89464278206107519746,5324559,3808197,865235030714188,AT&T Mobility,LTE
2026-05-22 21:30:33,2026-05-22 21:27:46,00:02:47,0,38066,89464278206107519746,5324559,3808197,865235030714188,AT&T Mobility,LTE
2026-05-22 21:27:43,2026-05-22 21:27:36,00:00:07,0,0,89464278206107519746,5324559,3808197,865235030714188,AT&T Mobility,LTE
2026-05-22 21:27:36,2026-05-22 21:18:46,00:08:50,0,205878,89464278206107519746,5324559,3808197,865235030714188,AT&T Mobility,LTE
2026-05-22 21:18:43,2026-05-22 21:18:36,00:00:07,0,0,89464278206107519746,5324559,3808197,865235030714188,AT&T Mobility,LTE
2026-05-22 21:17:20,2026-05-22 21:17:15,00:00:05,0,0,89464278206107519746,5324559,3808197,865235030714188,AT&T Mobility,LTE
2026-05-22 21:17:12,2026-05-22 21:17:05,00:00:07,0,0,89464278206107519746,5324559,3808197,865235030714188,AT&T Mobility,LTE
